ranking_fifa,pais,clase,class_1_sub
1,Francia,1,1
2,España,1,1
3,Argentina,1,1
4,Inglaterra,1,1
5,Portugal,1,1
6,Brasil,1,1
7,Paises Bajos,1,1
9,Belgica,1,2
10,Alemania,1,1
11,Croacia,1,2
17,Uruguay,1,2
8,Marruecos,2,
13,Colombia,2,
14,Senegal,2,
15,Mexico,2,
16,Estados Unidos,2,
18,Japon,2,
19,Suiza,2,
22,Turquia,2,
23,Ecuador,2,
25,Corea del Sur,2,
31,Noruega,2,
38,Suecia,2,
40,Paraguay,2,
24,Austria,3,
27,Australia,3,
28,Argelia,3,
29,Egipto,3,
30,Canada,3,
33,Panama,3,
34,Costa de Marfil,3,
41,Republica Checa,3,
43,Escocia,3,
44,Tunez,3,
60,Sudafrica,3,
61,Arabia Saudita,3,
65,Bosnia,3,
74,Ghana,3,
21,Iran,3,
46,Congo,4,
50,Uzbekistan,4,
55,Qatar,4,
57,Irak,4,
63,Jordania,4,
69,Cabo Verde,4,
82,Curazao,4,
83,Haiti,4,
85,Nueva Zelanda,4,
